Ticker,Theme,SectorETF,PrimaryPurpose,SecondaryTags,IsHolding,SetupStatus,ReviewState,FinalState,FinalValueCategory,PeerRelativeStatus,RelativeOpportunityScore,WatchlistScore,WatchlistRank,RankReason,Reason
QQQ,Nasdaq 100 ETF,QQQ,ETF / Defensive / Hedge,,False,Setup Forming,,Setup Forming,Insufficient Data,Insufficient Peer Data,,68.0,1,Base score 68 from final state `Setup Forming`. Adjusted +0 points for value category `Insufficient Data`.,"Used universe default purpose. Only 25 days of price history are available. Purpose is aligned with available data. Price is consolidating around short-term support.  Fundamentals are unavailable, so valuation and quality cannot be verified. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable."
META,AI / Ads / Platforms,QQQ,Core Compounder,,True,Avoid,Review Thesis,Review Thesis,Insufficient Data,Insufficient Peer Data,,40.0,2,Base score 45 from final state `Review Thesis`. Added 3 points because the ticker is already a holding. Adjusted +0 points for value category `Insufficient Data`. Subtracted 8 points because the current setup is `Avoid`.,"Used holding primary purpose. Only 0 days of price history are available. Price data is missing, so purpose could not be fully verified. Price data is missing. Position percent 0.00% is within allowed max 15.00%, portfolio concentration threshold 20.00%. Price data is missing, so purpose could not be fully verified. Fundamentals are unavailable, so valuation and quality cannot be verified. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable."
NVDA,AI Semiconductors,SMH,Momentum Leader,Strong RS,True,Avoid,Review Thesis,Review Thesis,Insufficient Data,Peer Data Unavailable,,40.0,2,Base score 45 from final state `Review Thesis`. Added 3 points because the ticker is already a holding. Adjusted +0 points for value category `Insufficient Data`. Subtracted 8 points because the current setup is `Avoid`.,"Used holding primary purpose. Only 25 days of price history are available. Purpose is aligned with available data. The current setup does not meet momentum criteria. Position percent 0.00% is within allowed max 15.00%, portfolio concentration threshold 20.00%. Current evidence is too weak to keep the thesis on autopilot. Available fundamentals are too incomplete to support a reliable value classification. Peer comparison status: Peer Data Unavailable. Standalone valuation multiples are available, but peer medians are not. Missing data: EPSGrowth, FCFMargin, GrossMargin, OperatingMargin, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield."
TSLA,EV / AI / Robotics,QQQ,Core Compounder,Weak RS,True,Avoid,Review Thesis,Review Thesis,Insufficient Data,Peer Data Unavailable,,40.0,2,Base score 45 from final state `Review Thesis`. Added 3 points because the ticker is already a holding. Adjusted +0 points for value category `Insufficient Data`. Subtracted 8 points because the current setup is `Avoid`.,"Used holding primary purpose. Only 25 days of price history are available. Purpose is aligned with available data. The current setup does not meet momentum criteria. Position percent 0.00% is within allowed max 15.00%, portfolio concentration threshold 20.00%. Current evidence is too weak to keep the thesis on autopilot. Available fundamentals are too incomplete to support a reliable value classification. Trap flags: declining revenue. Peer comparison status: Peer Data Unavailable. Standalone valuation multiples are available, but peer medians are not. Missing data: EPSGrowth, FCFMargin, GrossMargin, OperatingMargin, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield."
AMD,AI Semiconductors,SMH,Momentum Leader,,False,Avoid,,Ignore,Insufficient Data,Insufficient Peer Data,,,,Ignored names are left unranked.,"Used universe default purpose. Only 0 days of price history are available. Marked as Momentum Leader but relative strength is weak. Price data is missing, so purpose could not be fully verified. Price data is missing.  Fundamentals are unavailable, so valuation and quality cannot be verified. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable."
AVGO,AI Semiconductors,SMH,Momentum Leader,,False,Avoid,,Ignore,Insufficient Data,Insufficient Peer Data,,,,Ignored names are left unranked.,"Used universe default purpose. Only 0 days of price history are available. Marked as Momentum Leader but relative strength is weak. Price data is missing, so purpose could not be fully verified. Price data is missing.  Fundamentals are unavailable, so valuation and quality cannot be verified. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable."
COHR,Optical / AI Infrastructure,SMH,Speculative Optionality,,False,Avoid,,Ignore,Insufficient Data,Insufficient Peer Data,,,,Ignored names are left unranked.,"Used universe default purpose. Only 0 days of price history are available. Price data is missing, so purpose could not be fully verified. Price data is missing.  Fundamentals are unavailable, so valuation and quality cannot be verified. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable."
CRDO,AI Infrastructure,SMH,Speculative Optionality,,False,Avoid,,Ignore,Insufficient Data,Insufficient Peer Data,,,,Ignored names are left unranked.,"Used universe default purpose. Only 0 days of price history are available. Price data is missing, so purpose could not be fully verified. Price data is missing.  Fundamentals are unavailable, so valuation and quality cannot be verified. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable."
HOOD,Fintech,ARKF,Speculative Optionality,,False,Avoid,,Ignore,Insufficient Data,Insufficient Peer Data,,,,Ignored names are left unranked.,"Used universe default purpose. Only 0 days of price history are available. Price data is missing, so purpose could not be fully verified. Price data is missing.  Fundamentals are unavailable, so valuation and quality cannot be verified. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable."
LITE,Optical / AI Infrastructure,SMH,Speculative Optionality,,False,Avoid,,Ignore,Insufficient Data,Insufficient Peer Data,,,,Ignored names are left unranked.,"Used universe default purpose. Only 0 days of price history are available. Price data is missing, so purpose could not be fully verified. Price data is missing.  Fundamentals are unavailable, so valuation and quality cannot be verified. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable."
MU,Memory Semiconductors,SMH,Momentum Leader,,False,Avoid,,Ignore,Insufficient Data,Insufficient Peer Data,,,,Ignored names are left unranked.,"Used universe default purpose. Only 0 days of price history are available. Marked as Momentum Leader but relative strength is weak. Price data is missing, so purpose could not be fully verified. Price data is missing.  Fundamentals are unavailable, so valuation and quality cannot be verified. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable."
SMH,Semiconductor ETF,SMH,ETF / Defensive / Hedge,,False,Avoid,,Ignore,Insufficient Data,Insufficient Peer Data,,,,Ignored names are left unranked.,"Used universe default purpose. Only 0 days of price history are available. Price data is missing, so purpose could not be fully verified. Price data is missing.  Fundamentals are unavailable, so valuation and quality cannot be verified. Not enough valuation multiples are available for a peer comparison. Missing data: fundamentals unavailable."
